01. 🙏 @ Nam-mô tát đát tha # 如來 | Tathāgata | तथागत — Trở về với Như Lai là trở về chân tâm: rỗng rang mà sáng, thương khắp chúng sinh.
458. Tất kiền đà yết ra ha # 乾闥婆 | Gandharva | गन्धर्व — Tất kiền đà yết ra ha dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
459. Ô đát ma đà yết ra ha # 狂鬼 | Unmāda-graha | उन्माद-ग्रह — Ô đát ma đà yết ra ha là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
460. Xa dạ yết ra ha # 夜魅 | Rātri-graha | रात्रि-ग्रह — Xa dạ yết ra ha là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
461. A bá tất ma ra yết ra ha # 癲狂 | Apasmāra | अपस्मार — A bá tất ma ra yết ra ha là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
462. Trạch khê cách # 驅逐 | Uccāṭana | उच्चाटन — Trạch khê cách đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
463. Trà kỳ ni yết ra ha # 茶吉尼 | Ḍākinī | डाकिनी — Trà kỳ ni yết ra ha giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
464. Rị Phật đế yết ra ha # 毘佛提 | Vibhūti | विभूति — Rị Phật đế yết ra ha nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
465. Xà di ca yết ra ha # 邪魅 | Mithyāgraha | मिथ्याग्रह — Xà di ca yết ra ha dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
466. Xá câu ni yết ra ha # 鳥鬼 | Pakṣi-graha | पक्षि-ग्रह — Xá câu ni yết ra ha là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
467. Lao đà ra # 羅怛利 | Rātri | रात्रि — Lao đà ra đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
468. Nan địa ca yết ra ha # 難提鬼 | Nandigraha | नन्दिग्रह — Nan địa ca yết ra ha dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
469. 🙏 A lam bà yết ra ha # 阿藍婆 | Ālamba | आलम्ब — A lam bà yết ra ha gợi Diệu Pháp Liên Hoa: phương tiện đưa người về chân thật, không bỏ ai lại.
470. Kiền độ ba ni yết ra ha # 香鬼 | Gandha-graha | गन्ध-ग्रह — Kiền độ ba ni yết ra ha dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
471. Thập phạt ra # 十方 | Daśadik | दशदिक् — Thập phạt ra dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
472. Yên ca hê ca # 驅散 | Vidravana | विद्रवन — Yên ca hê ca nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
473. Trị đế dược ca # 治癒 | Cikitsā | चिकित्सा — Trị đế dược ca nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
474. Ðát lệ đế dược ca # 除病 | Vyādhi-nivāraṇa | व्याधि-निवारण — Ðát lệ đế dược ca là tâm nguyện cứu khổ: thấy người chìm thì học cách đưa tay ra.
475. Giả đột thác ca # 斷除 | Chedana | छेदन — Giả đột thác ca là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
476. Ni đề thập phạt ra # 十方守護 | Daśadik-rakṣā | दशदिक्-रक्षा — Ni đề thập phạt ra dạy tôi hộ trì pháp trong từng ý nghĩ, từng lời nói và từng việc nhỏ.
477. Tỉ sam ma thập phạt ra # 平等守護 | Samatā-rakṣā | समता-रक्षा — Tỉ sam ma thập phạt ra gợi Phật Đảnh: lấy chánh định hàng phục ma sự, lấy từ bi giữ đạo tâm.
478. Bạt để ca # 護持 | Pālana | पालन — Bạt để ca giữ cửa sáu căn, để nghe thấy đều trở về tánh biết bất động.
479. Tỷ để ca # 安定 | Sthiratā | स्थिरता — Tỷ để ca nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
480. Thất lệ sắc mật ca # 吉祥密 | Maṅgala-guhya | मङ्गल-गुह्य — Thất lệ sắc mật ca là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
481. 🙏 Ta nể bát để ca # 守護主 | Rakṣāpati | रक्षापति — Ta nể bát để ca nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
482. Tát bà thập phạt ra # 一切守護 | Sarva-rakṣā | सर्व-रक्षा — Tát bà thập phạt ra nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
483. Thất lô kiết đế # 吉祥地 | Maṅgala-bhūmi | मङ्गल-भूमि — Thất lô kiết đế là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
484. Mạt đà bệ đạt lô chế kiếm # 大威光 | Mahātejoprabhā | महातेजोप्रभा — Mạt đà bệ đạt lô chế kiếm dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
485. A ỷ lô kiềm # 日輪 | Sūryamaṇḍala | सूर्यमण्डल — A ỷ lô kiềm đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
486. Mục khê lô kiềm # 面輪 | Mukhamandala | मुखमन्दल — Mục khê lô kiềm là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
487. Yết rị đột lô kiềm # 金輪 | Suvarṇacakra | सुवर्णचक्र — Yết rị đột lô kiềm là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
488. Yết ra ha # 執持 | Dhāraṇa | धारण — Yết ra ha giữ cửa sáu căn, để nghe thấy đều trở về tánh biết bất động.
489. Yết lam yết noa du lam # 咽喉 | Kaṇṭha | कण्ठ — Yết lam yết noa du lam là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
490. Ðản đa du lam # 牙齒 | Danta | दन्त — Ðản đa du lam dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
491. Hất rị dạ du lam # 心 | Hṛdaya | हृदय — Hất rị dạ du lam nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
492. Mạt mạ du lam # 脈 | Nāḍī | नाडी — Mạt mạ du lam là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
493. 🙏 Bạt rị thất bà du lam # 胸 | Uraḥ | उरः — Bạt rị thất bà du lam nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
494. Tỷ lật sắc tra du lam # 脾 | Plīhā | प्लीहा — Tỷ lật sắc tra du lam là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
495. Ô đà ra du lam # 腹 | Udara | उदर — Ô đà ra du lam dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
496. Yết tri du lam # 脊 | Pṛṣṭha | पृष्ठ — Yết tri du lam nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
497. Bạt tất đế du lam # 膀胱 | Vasti | वस्ति — Bạt tất đế du lam nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
498. Ô lô du lam # 腿 | Ūru | ऊरु — Ô lô du lam dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
499. Thường dà du lam # 腸 | Antra | अन्त्र — Thường dà du lam là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
500. Hắc tất đa du lam # 血 | Rakta | रक्त — Hắc tất đa du lam nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
501. Bạt đà du lam # 骨 | Asthi | अस्थि — Bạt đà du lam nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
502. Ta phòng án dà # 房室 | Gṛha | गृह — Ta phòng án dà đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
503. Bát ra trượng dà du lam # 臂 | Bāhu | बाहु — Bát ra trượng dà du lam đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
504. Bộ đa tỷ đa trà # 諸鬼 | Sarvabhūta | सर्वभूत — Bộ đa tỷ đa trà phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
505. 🙏 Trà kỳ ni # 茶吉尼 | Ḍākinī | डाकिनी — Trà kỳ ni nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
506. Thập bà ra # 十方 | Daśadik | दशदिक् — Thập bà ra đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
507. Ðà đột lô ca # 大地 | Mahāpṛthivī | महापृथिवी — Ðà đột lô ca dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
508. Kiến đốt lô kiết tri # 見聞 | Darśana-śravaṇa | दर्शन-श्रवण — Kiến đốt lô kiết tri là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
509. Bà lộ đa tỳ # 大風 | Mahāvāyu | महावायु — Bà lộ đa tỳ nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
510. Tát bát lô # 一切 | Sarva | सर्व — Tát bát lô nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
511. Ha lăng già # 震動 | Kampana | कम्पन — Ha lăng già giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
512. Du sa đát ra # 守護 | Rakṣā | रक्षा — Du sa đát ra dạy tôi hộ trì pháp trong từng ý nghĩ, từng lời nói và từng việc nhỏ.
513. Ta na yết ra # 城守 | Nagara-pāla | नगर-पाल — Ta na yết ra là kết giới nơi tâm: tà ma không vào được khi chánh niệm còn sáng.
514. Tỳ sa dụ ca # 毒害 | Viṣa | विष — Tỳ sa dụ ca là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
515. A kỳ ni # 火 | Agni | अग्नि — A kỳ ni giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
516. Ô đà ca # 水 | Udaka | उदक — Ô đà ca dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
517. 🙏 Mạt ra bệ ra # 死魔 | Mṛtyu-māra | मृत्यु-मार — Mạt ra bệ ra phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
518. Kiến đa ra # 見魔 | Dṛṣṭi-māra | दृष्टि-मार — Kiến đa ra dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
519. A ca ra # 不動 | Acala | अचल — A ca ra dạy tôi thấy sắc thanh hương vị đều như mộng, tánh biết thì không mất.
520. Mật rị đốt # 無死 | Amṛta | अमृत — Vô tử là nhận ra tâm pháp không sinh diệt, thân đổi mà tánh biết không mất.
521. Ðát liểm bộ ca # 大怖 | Mahābhaya | महाभय — Ðát liểm bộ ca là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
522. Ðịa lật lặc tra # 地震 | Bhūmikampa | भूमिकम्प — Ðịa lật lặc tra nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
523. Tỷ rị sắc chất ca # 破壞 | Vināśa | विनाश — Tỷ rị sắc chất ca là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
524. Tát bà na câu ra # 一切難 | Sarva-bhaya | सर्व-भय — Tát bà na câu ra nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
525. Tứ dẫn dà tệ # 四方 | Caturdiś | चतुर्दिश् — Tứ dẫn dà tệ nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
526. Yết ra rị dược xoa # 夜叉 | Yakṣa | यक्ष — Yết ra rị dược xoa phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
527. Ðác ra sô # 毒蛇 | Viṣasarpā | विषसर्पा — Ðác ra sô nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
528. Mạt ra thị # 魔使 | Māradūta | मारदूत — Mạt ra thị dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
529. 🙏 Phệ đế sam # 彼等 | Te | ते — Phệ đế sam dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
530. Ta bệ sam # 一切 | Sarva | सर्व — Ta bệ sam gợi Phật Đảnh: lấy chánh định hàng phục ma sự, lấy từ bi giữ đạo tâm.
531. Tất đát đa bát đác ra # 大白傘 | Mahāsitātapatra | महासितातपत्र — Đại Bạch Tản che chở người giữ tâm thanh tịnh, phá tà mà không lìa bi.
532. Ma ha bạt xà lô # 大金剛 | Mahāvajra | महावज्र — Ma ha bạt xà lô giữ cửa sáu căn, để nghe thấy đều trở về tánh biết bất động.
533. Sắc ni sam # 頂相 | Uṣṇīṣa | उष्णीष — Sắc ni sam dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
534. Ma ha bát lặc trượng kỳ lam # 大威光 | Mahātejoprabhā | महातेजोप्रभा — Ma ha bát lặc trượng kỳ lam là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
535. Dạ ba đột đà # 夜怖 | Rātri-bhaya | रात्रि-भय — Dạ ba đột đà nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
536. Xá dụ xà na # 守護 | Rakṣā | रक्षा — Xá dụ xà na gợi Diệu Pháp Liên Hoa: phương tiện đưa người về chân thật, không bỏ ai lại.
537. Biện đát lệ noa # 遍照 | Samantaprabhā | समन्तप्रभा — Biện đát lệ noa giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
538. Tỳ đà da # 智慧 | Vidyā | विद्या — Tỳ đà da nhắc tôi thấy biết mà không chấp biết; kiến tinh vẫn sáng giữa muôn cảnh đổi thay.
539. Bàn đàm ca lô di # 結界 | Sīmābandha | सीमाबन्ध — Bàn đàm ca lô di là kết giới nơi tâm: tà ma không vào được khi chánh niệm còn sáng.
540. Ðế thù # 堅固 | Dṛḍha | दृढ — Ðế thù đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
541. 🙏 Bàn đàm ca lô di # 結界 | Sīmābandha | सीमाबन्ध — Bàn đàm ca lô di giữ cửa sáu căn, để nghe thấy đều trở về tánh biết bất động.
542. Bát ra tỳ đà # 破邪 | Mithyā-bheda | मिथ्या-भेद — Phá tà là trở về đường thẳng của chân tâm, thấy không rồi thương sâu hơn.
543. Bàn đàm ca lô di # 結界 | Sīmābandha | सीमाबन्ध — Bàn đàm ca lô di dạy tôi hộ trì pháp trong từng ý nghĩ, từng lời nói và từng việc nhỏ.
544. Ðát điệt tha # 即說咒曰 | Tadyathā | तद्यथा — Ðát điệt tha đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
545. Án # 唵 | Oṃ | ओं — Án nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
546. A na lệ # 不動 | Acala | अचल — A na lệ là bài học vô ngã: có mặt giữa đời mà không bị đời trói.
547. Tỳ xá đề # 清淨 | Viśuddhi | विशुद्धि — Tỳ xá đề là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
548. Bệ ra # 威力 | Bala | बल — Bệ ra dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
549. Bạt xà ra # 金剛 | Vajra | वज्र — Bạt xà ra là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
550. Ðà rị # 持 | Dhāraṇa | धारण — Ðà rị là kết giới nơi tâm: tà ma không vào được khi chánh niệm còn sáng.
551. Bàn đà bàn đà nể # 結結 | Bandha-bandha | बन्ध-बन्ध — Bàn đà bàn đà nể nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
552. Bạt xà ra bán ni phấn # 金剛手破 | Vajrapāṇi-bheda | वज्रपाणि-भेद — Bạt xà ra bán ni phấn dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
553. 🙏 Hổ hồng đô lô ung phấn # 威攝破 | Ākarṣaṇa-bheda | आकर्षण-भेद — Hổ hồng đô lô ung phấn là tâm nguyện cứu khổ: thấy người chìm thì học cách đưa tay ra.
554. Ta bà ha # 成就 | Siddhi | सिद्धि — Ta bà ha là lời nguyện thành tựu: tu học, phá tà, trở về chân tâm và yêu chúng sinh.
